Date,EURO STOXX
7/31/2006,339.5531
8/31/2006,351.0539
9/30/2006,359.9344
10/31/2006,375.761
11/30/2006,384.8228
12/31/2006,389.542
1/31/2007,400.4311
2/28/2007,410.2969
3/31/2007,397.5413
4/30/2007,421.7075
5/31/2007,431.7132
6/30/2007,433.405
7/31/2007,431.346
8/31/2007,406.3849
9/30/2007,411.3402
10/31/2007,427.0707
11/30/2007,411.3705
12/31/2007,414.4812
1/31/2008,380.1523
2/29/2008,360.5727
3/31/2008,342.8873
4/30/2008,359.5926
5/31/2008,367.1251
6/30/2008,340.1874
7/31/2008,311.878
8/31/2008,316.065
9/30/2008,301.3122
10/31/2008,241.5438
11/30/2008,225.0323
12/31/2008,219.0086
1/31/2009,215.4952
2/28/2009,200.3621
3/31/2009,184.6332
4/30/2009,209.2919
5/31/2009,225.7355
6/30/2009,226.7011
7/31/2009,228.0121
8/31/2009,250.7171
9/30/2009,263.9614
10/31/2009,268.7252
11/30/2009,265.433
12/31/2009,270.06
1/31/2010,273.5175
2/28/2010,257.0253
3/31/2010,272.6469
4/30/2010,278.6206
5/31/2010,252.6954
6/30/2010,253.1897
7/31/2010,255.1174
8/31/2010,258.8698
9/30/2010,264.6324
10/31/2010,271.3305
11/30/2010,272.2297
12/31/2010,276.5097
1/31/2011,282.8104
2/28/2011,292.2784
3/31/2011,281.9263
4/30/2011,287.5142
5/31/2011,284.0156
6/30/2011,272.8888
7/31/2011,270.4536
8/31/2011,226.872
9/30/2011,212.5588
10/31/2011,226.0823
11/30/2011,219.1925
12/31/2011,222.172
1/31/2012,233.4235
2/29/2012,247.2429
3/31/2012,250.7313
4/30/2012,235.0389
5/31/2012,221.8887
6/30/2012,216.184
7/31/2012,226.4584
8/31/2012,240.5407
9/30/2012,250.1206
10/31/2012,248.6878
11/30/2012,248.7307
12/31/2012,259.6692
1/31/2013,269.1386
2/28/2013,264.6837
3/31/2013,270.7772
4/30/2013,265.9368
5/31/2013,280.1768
6/30/2013,268.2708
7/31/2013,272.3612
8/31/2013,284.2189
9/30/2013,290.6391
10/31/2013,301.4406
11/30/2013,308.7193
12/31/2013,304.7365
1/31/2014,314.7265
2/28/2014,315.9142
3/31/2014,316.9753
4/30/2014,323.2356
5/31/2014,324.6928
6/30/2014,331.4711
7/31/2014,322.3027
8/31/2014,311.3403
9/30/2014,324.0328
10/31/2014,304.2193
11/30/2014,315.6973
12/31/2014,320.0532
1/31/2015,327.3937
2/28/2015,353.2025
3/31/2015,373.8719
4/30/2015,383.2678
5/31/2015,373.444
6/30/2015,363.9918
7/31/2015,366.3121
8/31/2015,356.7042
9/30/2015,330.8934
10/31/2015,342.185
11/30/2015,358.2185
12/31/2015,345.997
1/31/2016,320.7532
2/29/2016,304.3218
3/31/2016,322.1525
4/30/2016,323.422
5/31/2016,319.5306
6/30/2016,312.1851
7/31/2016,312.8494
8/31/2016,323.2033
9/30/2016,325.512
10/31/2016,327.851
11/30/2016,324.5457
12/31/2016,342.5502
1/31/2017,352.4299
2/28/2017,353.2234
3/31/2017,365.6609
4/30/2017,373.9048
5/31/2017,387.0645
6/30/2017,383.5812
7/31/2017,377.8377
8/31/2017,375.0612
9/30/2017,380.737
10/31/2017,391.6759
11/30/2017,391.6916
12/31/2017,389.7159
1/31/2018,398.4235
2/28/2018,380.6017
3/31/2018,375.9084
4/30/2018,383.2679
5/31/2018,392.25
6/30/2018,383.4411
7/31/2018,383.8034
8/31/2018,382.4587
9/30/2018,376.3904
10/31/2018,359.0005
11/30/2018,351.304
12/31/2018,335.2102
1/31/2019,340.4645
2/28/2019,355.0307
3/31/2019,365.7233
4/30/2019,378.9918
5/31/2019,369.385
6/30/2019,369.7162
7/31/2019,379.9948
8/31/2019,363.5922
9/30/2019,379.6906
10/31/2019,382.8247
11/30/2019,398.3928
12/31/2019,400.9135
1/31/2020,406.949
2/29/2020,407.1065
3/31/2020,308.4902
4/30/2020,310.3135
5/31/2020,322.0684
6/30/2020,353.8961
7/31/2020,361.9895
8/31/2020,361.8238
9/30/2020,359.1946
10/31/2020,355.0659
11/30/2020,377.7368
12/31/2020,394.0455
1/31/2021,403.1465
2/28/2021,410.0233
3/31/2021,422.3626
4/30/2021,440.0549
5/31/2021,443.8412
6/30/2021,455.3173
7/31/2021,453.8237
8/31/2021,468.545
9/30/2021,465.5207
10/31/2021,461.3944
11/30/2021,478.7441
12/31/2021,469.0837
1/31/2022,471.0414
2/28/2022,452.7067
3/31/2022,422.072
4/30/2022,428.9165
5/31/2022,413.5345
6/30/2022,399.5981
7/31/2022,390.3774
